class,fgpa,gpa,gen,age,study,distance,rep,value,oppgrow,swag,assoc,donate,suppres,divexp,talk,satacopp,sbonds,unique,home,sports,meanact,major,acsupp,facsrel,ocpride,cultacc,pride,cares,colors,appreciated,ocbelong,imm,int,country,usforeign,region,continent
0,NA,3,0,0,7,0,2,1,1,1,2,2,3,2,2,3,0,2,1,0,2,1,2,0,2,2,2,0,2,0,0,1,0,Vietnam,0,Southeast Asia,Asia
2,2,3,1,1,4,0,3,2,3,2,1,1,2,2,1,0,2,3,3,0,1,3,3,2,3,3,2,2,2,2,2,0,0,NA,0,NA,NA
4,3,2,0,1,1,2,2,2,2,1,2,2,3,3,2,3,3,3,2,0,2,2,3,3,2,3,3,3,3,3,3,0,0,NA,0,NA,NA
4,1,3,0,2,1,0,1,3,2,1,2,2,2,2,1,2,1,2,1,0,2,0,1,1,1,2,2,1,1,2,0,0,0,NA,0,NA,NA
3,2,2,0,1,0,0,2,3,3,2,3,3,3,2,3,3,1,3,2,0,2,2,3,2,3,3,3,2,3,2,3,1,0,Mexico,0,North America,North America
1,3,3,1,1,3,0,0,1,1,2,1,1,1,2,1,2,0,2,1,0,2,1,1,1,1,2,2,2,1,2,0,1,0,USA,1,North America,North America
2,3,3,1,1,0,2,1,3,2,3,3,3,2,2,2,2,3,3,3,1,3,1,3,3,3,2,3,3,3,3,3,1,0,Nigeria ,0,West Africa,Africa
1,3,3,0,1,5,2,2,1,3,0,2,2,1,2,0,2,1,1,2,0,2,3,2,1,1,2,1,1,0,1,1,1,0,Philippines ,0,Southeast Asia,Asia
2,2,2,0,2,5,0,1,2,3,2,3,3,2,3,3,3,2,2,2,1,3,2,3,2,2,2,3,2,3,2,3,1,0,Mexico,0,North America,North America
3,3,3,1,1,1,0,3,3,3,3,2,2,2,2,2,3,1,2,2,0,1,1,3,3,2,3,2,3,2,3,3,0,0,NA,0,NA,NA
4,2,2,1,4,1,0,2,1,2,3,3,3,2,2,1,2,2,2,3,0,2,1,1,1,1,2,2,3,2,3,2,0,0,NA,0,NA,NA
4,3,3,1,2,1,0,2,3,2,0,2,2,2,3,2,2,2,3,2,0,2,2,3,2,3,2,2,2,1,3,2,1,0,Brazil,1,South America,South America
3,3,3,1,1,4,0,2,3,3,3,3,2,3,3,3,2,2,3,2,1,3,2,3,3,3,2,3,3,3,3,2,0,0,NA,0,NA,NA
2,2,2,0,1,5,2,2,2,3,2,2,2,2,2,1,2,3,3,0,0,3,1,2,2,2,3,2,3,1,3,1,1,0,Nigeria,0,West Africa,Africa
3,3,3,1,1,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,0,India,0,South-Central Asia,Asia
4,3,3,1,3,5,4,1,2,2,0,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,Iran,0,South-Central Asia,Asia
4,2,3,1,1,7,0,2,3,2,0,1,2,3,3,1,1,3,3,3,2,2,2,3,3,2,3,2,3,2,3,2,0,0,NA,0,NA,NA
3,2,2,1,1,0,2,2,1,2,3,2,2,1,2,2,2,1,1,2,0,2,2,1,2,2,2,2,2,1,2,2,0,0,NA,0,NA,NA
2,3,3,0,1,5,0,2,3,3,3,3,2,3,3,2,2,3,2,3,1,2,2,3,2,2,2,3,3,3,3,3,0,0,NA,0,NA,NA
3,2,2,1,1,4,0,3,3,3,2,0,2,3,3,1,3,2,2,0,0,3,1,2,0,0,3,2,1,2,2,0,1,0,Bangladesh,0,South-Central Asia,Asia
4,3,3,1,2,0,4,0,2,2,0,0,2,1,1,0,1,2,2,1,0,2,0,0,2,1,2,2,1,0,2,1,1,1,Iran,0,South-Central Asia,Asia
1,3,3,1,1,2,0,2,3,3,2,2,2,3,3,3,3,3,3,3,0,3,3,3,3,2,3,3,3,2,3,3,1,0,Kurdistan,0,Western Asia,Asia
4,3,3,0,2,1,0,1,3,2,0,2,2,2,1,2,2,0,0,1,0,1,2,3,2,1,0,2,2,0,2,1,0,0,NA,0,NA,NA
4,3,3,0,3,1,0,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,1,1,2,2,2,1,2,2,0,0,NA,0,NA,NA
1,0,2,1,1,4,1,1,0,2,3,2,3,3,2,2,3,1,3,3,2,1,2,3,3,3,3,3,3,3,3,3,1,0,Mexico,0,North America,North America
0,NA,2,1,0,2,0,2,3,3,3,2,2,3,2,2,3,2,2,3,2,2,3,3,2,2,2,3,3,3,3,3,0,0,NA,0,NA,NA
